culture,wld.regs,wld.reg1,gene.5ht,hpp.9,hpp.z9,hpp.z8xl,hpp.z8xt,hpp.z7,hpp.z6,hpp.bst,hpp.ind.bst,gdp.who,gdp.wb,gdp.fact,pop.dens,lat.popu,lat.cent,new.gini,sexratio,sex.rat,soi.tot,soi.male,soi.fem,soi.sexd,b5m.neu,b5m.ext,b5m.ope,b5m.agr,b5m.con,acqui.m,b5s.ext,b5s.agr,b5s.con,b5s.neu,b5s.ope,b5.2.ext,b5.2.ope,b5.2.neu,b5.2.agr,b5.2.con,ind.hof,ind.suh,col.gelf,col.pron,food.spc,food.plt,food.per,pat.lei,pat.sch,pat.fil,pat.lep,pat.thu,pat.mal,pat.trp,pat.tb,pat.den,conform,wvs.ind,wvs.obe,wvs.rac,wvs.rel1,hdi,lif.sat,sat.inq,left.wri,left.gen,b5fs.n1,b5fs.n2,b5fs.n3,b5fs.n4,b5fs.n5,b5fs.n6,b5fs.e1,b5fs.e2,b5fs.e3,b5fs.e4,b5fs.e5,b5fs.e6,b5fs.o1,b5fs.o2,b5fs.o3,b5fs.o4,b5fs.o5,b5fs.o6,b5fs.a1,b5fs.a2,b5fs.a3,b5fs.a4,b5fs.a5,b5fs.a6,b5fs.c1,b5fs.c2,b5fs.c3,b5fs.c4,b5fs.c5,b5fs.c6,b5fo.n1,b5fo.n2,b5fo.n3,b5fo.n4,b5fo.n5,b5fo.n6,b5fo.e1,b5fo.e2,b5fo.e3,b5fo.e4,b5fo.e5,b5fo.e6,b5fo.o1,b5fo.o2,b5fo.o3,b5fo.o4,b5fo.o5,b5fo.o6,b5fo.a1,b5fo.a2,b5fo.a3,b5fo.a4,b5fo.a5,b5fo.a6,b5fo.c1,b5fo.c2,b5fo.c3,b5fo.c4,b5fo.c5,b5fo.c6,b5avgn,b5avge,b5avgo,b5avga,b5avgc,b5avgsd,dom.viol,free.pr,free.cl,free.2,prop.rts,indx.dem
Afghanistan,w.euras,1, ,15,.226310495728663,.248723910198224,.13965672862881,.152892949865472,.0227069046550509,.226310495728663,.226310495728663, , ,1000, , , , , ,107.5, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0,0,2,3,3,0,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.18,5,5,10, ,0
Albania,w.euras,1, ,11,-.250440430424282,-.148080191181453,-.110572003172291,.0263923312840849,-.124877150356567,-.250440430424282,-.250440430424282,5420,4426,5600,2.119, ,41,26.7,1.05,98, , , , , , , , , , , , , , , , , , , , , , ,5.74, , , , ,2,0,0,1,2,3,0,1,2, , ,56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.3,3,3,6,30,25
Algeria,africa,4, ,18,.471710666862028,.52479910272326,.558789951214327,.631902347106063,.743705580103796,.471710666862028,.471710666862028, ,6475,6700, , , ,35.3, ,101.9, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,2,2,3,2,0,2,2, , ,56.2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8.41,6,5,11,30,15.9
Andorra,w.euras,1, ,3,-1.0847805145632,-1.08671278583773,-1.04920459782857,-1.04633063403738,-.889924140560774,-1.0847805145632,-1.0847805145632, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,1,1,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2, , 
Angola,africa,4, ,22,.95440117142896,.928285229818672,.958758738791644,.929534458003127,.928788664148982,.95440117142896,.95440117142896, ,2724, , , , , , ,97.2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,3,3,2,3,2,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.28,6,5,11,20,0
Anguilla,n.am,5, , , , , ,-.265063679813629,-.302754784635845,-.27,-.265063679813629, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,0, ,0,2,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Antigua,n.am,5, , , , , ,-.265063679813629,-.302754784635845,-.27,-.265063679813629, ,12703, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,0, ,0,2,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,4, , 
Argentina,s.am,6,51.04,12,-.123685733732805,-.145021847945927,.0320270306056215,.0298875806961141,.203509397960244,-.123685733732805,-.123685733732805,13331,12301,15000,1.168,34,34,49,1.001,96.2,40.74,55.52,30.1,.9,51.3,52.3,46.1,50.6,50,497,49.1,42.75,48.18,55.05,50.83,101.4,96.93,106.35,93.35,98.18,46,4.8,5.51,1, , , ,2,0,1,2,1,1,2,1,2, ,36.3,30.3,4.5,8,.863,6.8,2.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,52,49.2,51.8,48.2,51.6,52.1,47,51.6,48.6,51.4,49.5,53.2,50.7,45.9,47.4,47.5,46.8,48.8,49.4,51.2,51.3,48.9,54.3,51.5,50.6,47.6,51.1,52.6,52,48, , , , , , ,6.75,2,2,4,20,26.1
Armenia,w.euras,1, ,14,.0950089219070121,.101009639648867,.135000488139934,.1475715321639,.178652962671273,.0950089219070121,.0950089219070121, ,4316, , , , ,37, ,87.6, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0,0,2,3,2,0,2,2, , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,4,9,35,16.2
Aruba,s.am,6, , , , , ,-.276376820913228,-.315953449252044,-.28,-.276376820913228, , , , , , , , ,92.3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1, ,0,2,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
