,tone_avg
0,1.6949153
1,3.7735848
2,0.0
3,2.7272727
4,0.0
5,1.6949153
6,2.7272727
7,0.0
8,-1.0909091
9,5.2173915
10,0.5420054
11,1.6460905
12,4.8076925
13,-9.708738
14,-0.53763443
15,5.2173915
16,4.8076925
17,-0.73421437
18,-9.708738
19,-2.4460433
20,-6.476684
21,-3.4482758
22,2.094241
23,-0.5170631
24,-1.4925373
25,-4.854369
26,3.3057852
27,-1.8450185
28,2.173913
29,-1.8575852
30,-6.3909774
31,-2.8391168
32,-1.3927577
33,-6.3091483
34,1.9920319
35,-2.631579
36,-1.8575852
37,-4.3543544
38,2.173913
39,-6.2761507
40,-1.183432
41,2.3255813
42,3.125
43,-11.111111
44,-2.173913
45,-11.111111
46,-0.9049774
47,-0.29154518
48,-0.74626863
49,0.0
50,-2.0905924
51,4.77707
52,5.2083335
53,-7.7380953
54,1.6460905
55,0.0
56,-4.9504952
57,-4.958678
58,2.9850745
59,0.5952381
60,-8.133971
61,0.49751243
62,-7.246377
63,0.0
64,-1.7208413
65,-3.903904
66,-2.250804
67,0.32626426
68,-4.0540543
69,-4.5801525
70,-7.5757575
71,2.7863777
72,-5.367793
73,-2.3622048
74,0.67114097
75,-0.4032258
76,-2.991453
77,0.98039216
78,-3.2
79,-4.5627375
80,-1.4285715
81,3.254438
82,-4.2105265
83,-1.4705882
84,2.9508197
85,-0.8032129
86,1.6
87,-6.2080536
88,-5.5555553
89,2.6785715
90,-0.20491803
91,-3.5897436
92,-1.7167382
93,0.6097561
94,-0.37950665
95,1.4245014
96,0.33112583
97,-3.291536
98,-2.0588236
99,6.0240965
100,-4.43686
101,3.508772
102,3.6876357
103,-0.7125891
104,-0.4830918
105,-5.574913
106,0.0
107,1.4814814
108,0.0
109,1.7857143
110,-0.990099
111,-4.242424
112,-0.57471263
113,-3.199052
114,-0.3294893
115,-1.171459
116,1.9305019
117,1.0989012
118,0.19569471
119,-3.1847134
120,6.8
121,-4.1713643
122,2.2653723
123,-4.336735
124,2.3529413
125,2.0710058
126,1.0893246
127,-5.633803
128,3.144654
129,-9.580838
130,6.779661
131,-5.3511705
132,3.72549
133,-1.6483517
134,-3.8461537
135,-4.4265594
136,-3.8461537
137,0.8064516
138,1.7094017
139,-0.9852217
140,3.5196688
141,-1.1363636
142,4.15879
143,2.2727273
144,2.5510204
145,2.238806
146,-6.993007
147,-8.75
148,0.4385965
149,0.23584905
150,0.26737967
151,1.6447369
152,2.6666667
153,1.0638298
154,6.2730627
155,0.99750626
