,ISO,RANK_FREEDOM,COUNTRY,ABUSE_SCORE,PROGRESS_FREEDOM,Rank 2018,Score 2018,ZONE,culture,wld.reg1,gene.5ht,hpp.9,hpp.z9,hpp.z8xl,hpp.z8xt,hpp.z7,hpp.z6,hpp.bst,hpp.ind.bst,gdp.who,gdp.wb,gdp.fact,pop.dens,lat.popu,lat.cent,new.gini,sexratio,sex.rat,soi.tot,soi.male,soi.fem,soi.sexd,b5m.neu,b5m.ext,b5m.ope,b5m.agr,b5m.con,acqui.m,b5s.ext,b5s.agr,b5s.con,b5s.neu,b5s.ope,b5.2.ext,b5.2.ope,b5.2.neu,b5.2.agr,b5.2.con,ind.hof,ind.suh,col.gelf,col.pron,food.spc,food.plt,food.per,pat.lei,pat.sch,pat.fil,pat.lep,pat.thu,pat.mal,pat.trp,pat.tb,pat.den,conform,wvs.ind,wvs.obe,wvs.rac,wvs.rel1,hdi,lif.sat,sat.inq,left.wri,left.gen,b5fs.n1,b5fs.n2,b5fs.n3,b5fs.n4,b5fs.n5,b5fs.n6,b5fs.e1,b5fs.e2,b5fs.e3,b5fs.e4,b5fs.e5,b5fs.e6,b5fs.o1,b5fs.o2,b5fs.o3,b5fs.o4,b5fs.o5,b5fs.o6,b5fs.a1,b5fs.a2,b5fs.a3,b5fs.a4,b5fs.a5,b5fs.a6,b5fs.c1,b5fs.c2,b5fs.c3,b5fs.c4,b5fs.c5,b5fs.c6,b5fo.n1,b5fo.n2,b5fo.n3,b5fo.n4,b5fo.n5,b5fo.n6,b5fo.e1,b5fo.e2,b5fo.e3,b5fo.e4,b5fo.e5,b5fo.e6,b5fo.o1,b5fo.o2,b5fo.o3,b5fo.o4,b5fo.o5,b5fo.o6,b5fo.a1,b5fo.a2,b5fo.a3,b5fo.a4,b5fo.a5,b5fo.a6,b5fo.c1,b5fo.c2,b5fo.c3,b5fo.c4,b5fo.c5,b5fo.c6,b5avgn,b5avge,b5avgo,b5avga,b5avgc,b5avgsd,dom.viol,free.pr,free.cl,free.2,prop.rts,indx.dem
0,NOR,1,Norway,"7,82",0,1,"7,63",UE Balkans,Norway,1,,5,-0.85264142608015,-0.9650970018366909,-0.7880481232851421,-0.9073411666076151,-0.8899241405607741,-0.85264142608015,-0.85264142608015,38813,38196,47800,1.178,60,62,25,01. Mar,98.4,,,,,,,,,,,,,,,,,,,,,69,Jun 95,,0,01. Jun,14,0.11428571428571402,0,0,0,2,1,1,0,1,0,,,27. Aug,,,0.963,07. Apr,2,,,47.3,46.5,49.6,47.7,54.7,47.7,47.5,56.6,50.7,53.1,50.7,54.4,52.9,50.7,50.1,53.2,49.6,53,51.5,50.1,48.6,48.5,49.7,52.8,47.8,48.2,49,48.8,45.8,48.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4,53.6,51.5,49.9,45.7,10. Feb,Jan 79,1,1,2,90,39.2
1,FIN,2,Finland,"7,9",2,4,"10,26",UE Balkans,Finland,1,42.45,6,-0.7500378581575391,-0.849667987923754,-0.672619109372205,-0.775422293564259,-0.736018788676858,-0.7500378581575391,-0.7500378581575391,30415,29770,32800,1.236,61,64,29. May,1.024,95.9,50.5,64.03,41.6,0.69,,,,,,,49.84,49.46,51.6,47.84,50.33,,,,,,63,Jul 15,04. Jul,0,02. Jan,13,0.16153846153846202,0,0,0,2,2,1,0,1,0,,57.6,28. Apr,12. Mar,02. Feb,0.941,07. May,01. Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feb 71,1,1,2,95,33.6
2,SWE,3,Sweden,"8,31",-1,2,"8,31",UE Balkans,Sweden,1,43.63,4,-0.9766775954511601,-0.9650970018366909,-0.9275888138275279,-0.9073411666076151,-0.8899241405607741,-0.9766775954511601,-0.9766775954511601,30336,29443,31600,13.419.999.999.999.900,60,62,23,1.028,98.2,,,,,,,,,,,,,,,,,,,,,71,Jul 55,Mar 66,0,02. May,13,0.19230769230769199,0,0,0,1,1,1,0,1,0,,68.8,16. Aug,02. May,0.5,0.9490000000000001,07. May,2,,,45.6,45.5,49.8,46.3,47.8,49.6,47.8,54.8,46.9,46.1,45,53.4,48.4,45.6,48.4,49.7,43.9,50.7,52.9,51.8,51.7,52.7,54.6,59.1,48.8,49.8,52.7,42.7,47,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3,50.6,46,56.5,45.7,10. Aug,Feb 94,1,1,2,90,37.7
3,NLD,4,Netherlands,"8,63",-1,3,"10,01",UE Balkans,Netherlands,1,42.72,5,-0.87407402752855,-0.849667987923754,-0.812159799914591,-0.775422293564259,-0.736018788676858,-0.87407402752855,-0.87407402752855,31143,31749,31700,26.889.999.999.999.900,53,53,30. Sep,1.023,97.9,39.34,50.51,31.56,0.76,,,,,,,49.75,46.08,43.91,48.61,49.94,,,,,,80,08. May,03. Jul,0,,,,0,0,0,1,2,1,0,1,0,0.74,53.4,27. Jan,5,04. Mar,0.943,07. Jun,01. Jun,10. Aug,15. Aug,48.5,45.5,50.9,47.9,48.6,48.2,43.9,49.3,46.9,47.6,40.1,49.3,51.4,54.1,50.5,54.2,51,55.3,51.5,51.9,45.5,51.5,54,57.9,45.6,48.7,52.5,49.6,50,51.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6,43.9,55.7,54.6,48.6,10. Feb,Mar 64,1,1,2,90,38.4
4,DNK,5,Denmark,"9,87",4,9,"13,99",UE Balkans,Denmark,1,40.8,4,-0.9766775954511601,-0.9650970018366909,-0.9275888138275279,-0.9073411666076151,-0.8899241405607741,-0.9766775954511601,-0.9766775954511601,31664,31768,37000,21.109.999.999.999.900,56,56,24,1.014,97.9,,,,,50.3,51.8,55.2,53.1,48.4,499,,,,,,,,,,,74,07. Jul,Mar 53,0,01. Sep,18,0.10555555555555601,0,0,0,1,1,1,0,1,0,,80.7,16,07. Apr,0.7,0.941,8,02. Jan,,,46.4,44.9,49.2,48.4,49.8,47.6,49.5,55.9,48,56.8,47.1,52.2,47.6,46.8,47.4,51.5,46.4,48.9,54.2,52.7,48.6,50.6,51.2,51.5,48.2,48.7,50.6,48.5,49.4,48.5,49.3,47.3,52.9,50.1,51.9,50.1,52.1,52,49.5,55.3,47.2,50.6,53.2,52,53.4,54.1,52.3,56.7,54.8,52.7,52,50.6,50.5,54.9,53.1,47.4,50.4,47.9,48.6,47.9,46.5,52.8,46.5,52,47.5,09. Mar,Feb 64,1,1,2,95,44.2
5,CHE,6,Switzerland,"10,52",-1,5,"11,27",UE Balkans,Switzerland,1,,3,-10.847.805.145.632,-10.867.127.858.377.300,-104.920.459.782.857,-10.463.306.340.373.800,-0.8899241405607741,-10.847.805.145.632,-10.847.805.145.632,34087,33062,33600,2.279,47,47,33.7,10.170.000.000.000.000,95.8,39.13,45.45,34.26,0.49,47.5,48.3,58.4,54,53.5,496,50.47,47.69,45.03,48.72,52.62,98.77,111.02,96.22,101.69,98.53,68,07. Sep,Mar 97,0,,,,0,0,0,1,1,0,0,1,0,,42.4,22. Jan,08. Jul,02. May,0.9470000000000001,8,01. Sep,,,51,50.6,50.1,53.1,51.6,53.4,47.3,51.1,49.8,52.8,46.2,52.5,57,57.3,56.4,55.4,54.8,53.6,46,44.7,46.5,45.1,46.7,51.5,48.9,50.6,48.6,50.6,45.6,48.7,46.3,45.3,44.9,48.7,47.8,45.6,52.2,48,49.6,51.5,43.3,52.4,53,55.2,57.2,55.1,55.4,56.8,53.2,52.1,54.9,53.8,50.1,52.4,55.9,52.2,54.8,51.3,53.7,51.4,53.2,48.5,58.9,47,49.6,10. Apr,03. Sep,1,1,2,90,40.3
6,NZL,7,New Zealand,"10,75",1,8,"13,62",Asie-Pacifique,New Zealand,3,43.03,4,-0.9753171246962901,-0.9635664722374621,-0.9260582842282991,-0.905591989922782,-0.8878834344284681,-0.9753171246962901,-0.9753171246962901,24643,23059,26000,1.186,36,41,36.2,1.011,97.3,47.69,60.42,38.79,0.69,47.9,52.4,50.1,50.1,47.8,514,50.61,46.83,44.18,49.59,49.49,103.01,99.59,97.49,96.93,91.98,79,,Mar 67,0,,,,0,0,0,1,0,1,0,1,1,,53.7,21. Sep,02. Sep,05. Jan,0.9329999999999999,07. Apr,02. Mar,06. May,06. Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9,50.2,50,48.4,49.6,48.4,52.4,51.9,50,48.5,54.9,50.6,50.7,47.7,50.7,50,51,54.3,51.7,51.5,51.4,49.7,52.5,47.5,51.9,48,48.5,48.6,50.3,48,,,,,,,Jan 39,1,1,2,95,33.5
7,JAM,8,Jamaica,"11,13",-2,6,"11,33",Amériques,Jamaica,5,,15,0.17617131463264202,0.1923173314652,0.226308179956268,0.251923179953995,0.30039655175971697,0.17617131463264202,0.17617131463264202,4330,3849,4600,24.090.000.000.000.000,18,18,45.5,0.97,96,,,,,,,,,,,,,,,,,,,,,39,,,,,,,2,1,2,2,2,2,0,2,2,,,,,,0.738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apr 19,2,3,5,50,12. Jul
8,BEL,9,Belgium,"12,07",-2,7,"13,16",UE Balkans,Belgium,1,,4,-0.99811019689956,-0.849667987923754,-0.9517004904569781,-0.775422293564259,-0.736018788676858,-0.99811019689956,-0.99811019689956,31481,31131,31800,2.536,51,51,28,1.018,95.8,32.82,39.68,26. Aug,0.69,49.6,52.2,50.4,49.8,47.4,502,45.99,45.07,43.03,53.6,54.59,98.19,104.99,103.2,94.87,90.43,75,Jul 25,,0,,,,0,0,0,0,2,1,0,1,0,0.94,40.7,37.4,16. May,03. Jun,0.945,07. Mar,02. Feb,07. May,15. Jul,52.4,50.6,54.9,50.8,51,53,43.3,52.7,46.7,48.8,47.9,50.5,52.8,52.8,50.2,49.3,48.6,52.1,47.7,48.9,44.7,46.4,53.6,53.8,43.8,47.2,48.7,48.5,46.1,49.1,49.5,49.7,52.4,46,53,49.6,49.8,51.9,50.2,50.2,50.6,51.9,52.5,49.5,51.2,49.8,49.5,52.2,50.9,50.6,49.7,47.3,52.2,50.7,47.4,47.7,48.6,49.6,49,48.4,53,47.7,51.8,50,46.6,10. Mar,Apr 63,1,1,2,80,42.8
9,CRI,10,Costa Rica,"12,24",0,10,"14,01",Amériques,Costa Rica,6,,14,0.11707922995575201,0.1258387362037,0.159829584694767,0.175947642512281,0.0496040460763279,0.11707922995575201,0.11707922995575301,8949,9916,12000,1.912,10,10,48,1.023,103.4,,,,,,,,,,,,,,,,,,,,,15,,May 32,1,,,,2,0,1,2,0,3,2,2,2,,,,,,0.838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apr 65,1,1,2,50,20. Sep
