DictionaryHumanName,DimensionHumanName,LanguageCode
Forest Values,AESTHETIC,eng
Forest Values,ECONOMIC/UTILITARIAN,eng
Forest Values,LIFE SUPPORT,eng
Forest Values,MORAL/SPIRITUAL,eng
General Inquirer V1.02 (IV-4 Harvard Psychosocial Dictionary / NamenWirth & Weber's Lasswell Dictionary),ABS,eng
General Inquirer V1.02 (IV-4 Harvard Psychosocial Dictionary / NamenWirth & Weber's Lasswell Dictionary),AFFGAIN,eng
General Inquirer V1.02 (IV-4 Harvard Psychosocial Dictionary / NamenWirth & Weber's Lasswell Dictionary),AFFLOSS,eng
General Inquirer V1.02 (IV-4 Harvard Psychosocial Dictionary / NamenWirth & Weber's Lasswell Dictionary),AFFOTH,eng
General Inquirer V1.02 (IV-4 Harvard Psychosocial Dictionary / NamenWirth & Weber's Lasswell Dictionary),AFFPT,eng
General Inquirer V1.02 (IV-4 Harvard Psychosocial Dictionary / NamenWirth & Weber's Lasswell Dictionary),AFFTOT,eng
General Inquirer V1.02 (IV-4 Harvard Psychosocial Dictionary / NamenWirth & Weber's Lasswell Dictionary),ANI,eng
General Inquirer V1.02 (IV-4 Harvard Psychosocial Dictionary / NamenWirth & Weber's Lasswell Dictionary),ANOMIE,eng
General Inquirer V1.02 (IV-4 Harvard Psychosocial Dictionary / NamenWirth & Weber's Lasswell Dictionary),ARENAS,eng
General Inquirer V1.02 (IV-4 Harvard Psychosocial Dictionary / NamenWirth & Weber's Lasswell Dictionary),AUD,eng
General Inquirer V1.02 (IV-4 Harvard Psychosocial Dictionary / NamenWirth & Weber's Lasswell Dictionary),AbsOther,eng
General Inquirer V1.02 (IV-4 Harvard Psychosocial Dictionary / NamenWirth & Weber's Lasswell Dictionary),Acad,eng
General Inquirer V1.02 (IV-4 Harvard Psychosocial Dictionary / NamenWirth & Weber's Lasswell Dictionary),Ach,eng
General Inquirer V1.02 (IV-4 Harvard Psychosocial Dictionary / NamenWirth & Weber's Lasswell Dictionary),Actv,eng
General Inquirer V1.02 (IV-4 Harvard Psychosocial Dictionary / NamenWirth & Weber's Lasswell Dictionary),Affil,eng
General Inquirer V1.02 (IV-4 Harvard Psychosocial Dictionary / NamenWirth & Weber's Lasswell Dictionary),Aquatic,eng
General Inquirer V1.02 (IV-4 Harvard Psychosocial Dictionary / NamenWirth & Weber's Lasswell Dictionary),Arousal,eng
General Inquirer V1.02 (IV-4 Harvard Psychosocial Dictionary / NamenWirth & Weber's Lasswell Dictionary),BE,eng
General Inquirer V1.02 (IV-4 Harvard Psychosocial Dictionary / NamenWirth & Weber's Lasswell Dictionary),Begin,eng
